Config, Topology, No. of Banks, Buffer Size, Compute Mode, BW Mode, Mapping, LayerID, Bank Id, DRAM IFMAP Cycles, DRAM IFMAP Reads, DRAM Filter Cycles, DRAM Filter Reads, DRAM OFMAP Cycles, DRAM OFMAP Writes, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
scale.cfg,test.csv,4,16,ws,False,3,0.0,0,244.0,2353.0,19861.0,165889.0,72220.0,129685.0,9.60408163265306,8.352079347497734,1.7956688497805346
scale.cfg,test.csv,4,16,ws,False,3,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,3,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,3,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,is,False,3,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,3,0.0,0,244.0,2353.0,26168.0,165889.0,24340.0,129685.0,9.60408163265306,6.3391417325843555,5.327841912821987
scale.cfg,test.csv,4,16,is,False,3,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,3,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,3,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,ws,False,4,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,4,16,ws,False,4,0.0,0,244.0,2353.0,19742.0,165889.0,72955.0,129685.0,9.60408163265306,8.402421111279947,1.777578266352322
scale.cfg,test.csv,4,16,ws,False,4,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,4,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,4,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,is,False,4,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,4,0.0,0,244.0,2353.0,26168.0,165889.0,24375.0,129685.0,9.60408163265306,6.3391417325843555,5.3201919921234
scale.cfg,test.csv,4,16,is,False,4,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,4,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,4,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
